"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,-2054119634,0,-16,16,0,16,0,-16,0,0,0
2,-2054118134,0,-16,16,0,16,0,-16,0,0,10
3,-2054117540,0,-16,16,0,16,0,-16,0,0,20
4,-2054116978,0,-16,16,0,16,0,-16,0,10,0
5,-2054116681,0,-16,16,0,16,0,-16,0,10,10
6,-2054116525,0,-16,16,0,16,0,-16,0,10,20
7,-2054116243,0,-16,16,0,16,0,-16,0,20,0
8,-2054116072,0,-16,16,0,16,0,-16,0,20,10
9,-2054115837,0,-16,16,0,16,0,-16,0,20,20
10,-2054115665,0,-16,16,0,16,0,-16,10,0,0
11,-2054115337,0,-16,16,0,16,0,-16,10,0,10
12,-2054115103,0,-16,16,0,16,0,-16,10,0,20
13,-2054114915,0,-16,16,0,16,0,-16,10,10,0
14,-2054114681,0,-16,16,0,16,0,-16,10,10,10
15,-2054114337,0,-16,16,0,16,0,-16,10,10,20
16,-2054114150,0,-16,16,0,16,0,-16,10,20,0
17,-2054113994,0,-16,16,0,16,0,-16,10,20,10
18,-2054113853,0,-16,16,0,16,0,-16,10,20,20
19,-2054113728,0,-16,16,0,16,0,-16,20,0,0
20,-2054113603,0,-16,16,0,16,0,-16,20,0,10
21,-2054113447,0,-16,16,0,16,0,-16,20,0,20
22,-2054113275,0,-16,16,0,16,0,-16,20,10,0
23,-2054113087,0,-16,16,0,16,0,-16,20,10,10
24,-2054112931,0,-16,16,0,16,0,-16,20,10,20
25,-2054112790,0,-16,16,0,16,0,-16,20,20,0
26,-2054112618,0,-16,16,0,16,0,-16,20,20,10
27,-2054112415,0,-16,16,0,16,0,-16,20,20,20
28,-2054112243,0,-16,16,0,16,10,-16,0,0,0
29,-2054112150,0,-16,16,0,16,10,-16,0,0,10
30,-2054111962,0,-16,16,0,16,10,-16,0,0,20
31,-2054111728,0,-16,16,0,16,10,-16,0,10,0
32,-2054111525,0,-16,16,0,16,10,-16,0,10,10
33,-2054111415,0,-16,16,0,16,10,-16,0,10,20
34,-2054111197,0,-16,16,0,16,10,-16,0,20,0
35,-2054111040,0,-16,16,0,16,10,-16,0,20,10
36,-2054110837,0,-16,16,0,16,10,-16,0,20,20
37,-2054110681,0,-16,16,0,16,10,-16,10,0,0
38,-2054110478,0,-16,16,0,16,10,-16,10,0,10
39,-2054110181,0,-16,16,0,16,10,-16,10,0,20
40,-2054110056,0,-16,16,0,16,10,-16,10,10,0
41,-2054109837,0,-16,16,0,16,10,-16,10,10,10
42,-2054109618,0,-16,16,0,16,10,-16,10,10,20
43,-2054109478,0,-16,16,0,16,10,-16,10,20,0
