"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,-2057185603,0,-16,16,0,16,0,-16,0,0,0
2,-2057184353,0,-16,16,0,16,0,-16,0,0,10
3,-2057183994,0,-16,16,0,16,0,-16,0,0,20
4,-2057183728,0,-16,16,0,16,0,-16,0,10,0
5,-2057183353,0,-16,16,0,16,0,-16,0,10,10
6,-2057183228,0,-16,16,0,16,0,-16,0,10,20
7,-2057183103,0,-16,16,0,16,0,-16,0,20,0
8,-2057182885,0,-16,16,0,16,0,-16,0,20,10
9,-2057182588,0,-16,16,0,16,0,-16,0,20,20
10,-2057182244,0,-16,16,0,16,0,-16,10,0,0
11,-2057182072,0,-16,16,0,16,0,-16,10,0,10
12,-2057181932,0,-16,16,0,16,0,-16,10,0,20
13,-2057181713,0,-16,16,0,16,0,-16,10,10,0
14,-2057181619,0,-16,16,0,16,0,-16,10,10,10
15,-2057181432,0,-16,16,0,16,0,-16,10,10,20
16,-2057181275,0,-16,16,0,16,0,-16,10,20,0
17,-2057181135,0,-16,16,0,16,0,-16,10,20,10
18,-2057180900,0,-16,16,0,16,0,-16,10,20,20
19,-2057180697,0,-16,16,0,16,0,-16,20,0,0
20,-2057180541,0,-16,16,0,16,0,-16,20,0,10
21,-2057180384,0,-16,16,0,16,0,-16,20,0,20
22,-2057180275,0,-16,16,0,16,0,-16,20,10,0
23,-2057180119,0,-16,16,0,16,0,-16,20,10,10
24,-2057179978,0,-16,16,0,16,0,-16,20,10,20
25,-2057179822,0,-16,16,0,16,0,-16,20,20,0
26,-2057179728,0,-16,16,0,16,0,-16,20,20,10
27,-2057179619,0,-16,16,0,16,0,-16,20,20,20
28,-2057179432,0,-16,16,0,16,10,-16,0,0,0
29,-2057179291,0,-16,16,0,16,10,-16,0,0,10
30,-2057179182,0,-16,16,0,16,10,-16,0,0,20
31,-2057179041,0,-16,16,0,16,10,-16,0,10,0
32,-2057178947,0,-16,16,0,16,10,-16,0,10,10
33,-2057178838,0,-16,16,0,16,10,-16,0,10,20
34,-2057178760,0,-16,16,0,16,10,-16,0,20,0
35,-2057178650,0,-16,16,0,16,10,-16,0,20,10
36,-2057178572,0,-16,16,0,16,10,-16,0,20,20
37,-2057178478,0,-16,16,0,16,10,-16,10,0,0
38,-2057178338,0,-16,16,0,16,10,-16,10,0,10
39,-2057178197,0,-16,16,0,16,10,-16,10,0,20
40,-2057178056,0,-16,16,0,16,10,-16,10,10,0
41,-2057177916,0,-16,16,0,16,10,-16,10,10,10
42,-2057177853,0,-16,16,0,16,10,-16,10,10,20
43,-2057177775,0,-16,16,0,16,10,-16,10,20,0
44,-2057177650,0,-16,16,0,16,10,-16,10,20,10
45,-2057177556,0,-16,16,0,16,10,-16,10,20,20
46,-2057177447,0,-16,16,0,16,10,-16,20,0,0
47,-2057177322,0,-16,16,0,16,10,-16,20,0,10
48,-2057177228,0,-16,16,0,16,10,-16,20,0,20
49,-2057177119,0,-16,16,0,16,10,-16,20,10,0
50,-2057176931,0,-16,16,0,16,10,-16,20,10,10
51,-2057176838,0,-16,16,0,16,10,-16,20,10,20
52,-2057176744,0,-16,16,0,16,10,-16,20,20,0
53,-2057176666,0,-16,16,0,16,10,-16,20,20,10
54,-2057176557,0,-16,16,0,16,10,-16,20,20,20
55,-2057176447,0,-16,16,0,16,20,-16,0,0,0
56,-2057176369,0,-16,16,0,16,20,-16,0,0,10
57,-2057176228,0,-16,16,0,16,20,-16,0,0,20
58,-2057176135,0,-16,16,0,16,20,-16,0,10,0
59,-2057176025,0,-16,16,0,16,20,-16,0,10,10
60,-2057175947,0,-16,16,0,16,20,-16,0,10,20
61,-2057175869,0,-16,16,0,16,20,-16,0,20,0
62,-2057175760,0,-16,16,0,16,20,-16,0,20,10
63,-2057175681,0,-16,16,0,16,20,-16,0,20,20
64,-2057175525,0,-16,16,0,16,20,-16,10,0,0
65,-2057175369,0,-16,16,0,16,20,-16,10,0,10
66,-2057175260,0,-16,16,0,16,20,-16,10,0,20
67,-2057175135,0,-16,16,0,16,20,-16,10,10,0
68,-2057174869,0,-16,16,0,16,20,-16,10,10,10
69,-2057174775,0,-16,16,0,16,20,-16,10,10,20
70,-2057174682,0,-16,16,0,16,20,-16,10,20,0
71,-2057174572,0,-16,16,0,16,20,-16,10,20,10
72,-2057174463,0,-16,16,0,16,20,-16,10,20,20
73,-2057174353,0,-16,16,0,16,20,-16,20,0,0
74,-2057174260,0,-16,16,0,16,20,-16,20,0,10
75,-2057174135,0,-16,16,0,16,20,-16,20,0,20
76,-2057174041,0,-16,16,0,16,20,-16,20,10,0
77,-2057173947,0,-16,16,0,16,20,-16,20,10,10
78,-2057173853,0,-16,16,0,16,20,-16,20,10,20
79,-2057173791,0,-16,16,0,16,20,-16,20,20,0
80,-2057173666,0,-16,16,0,16,20,-16,20,20,10
81,-2057173525,0,-16,16,0,16,20,-16,20,20,20
82,-2057173416,0,-16,16,10,16,0,-16,0,0,0
83,-2057173275,0,-16,16,10,16,0,-16,0,0,10
84,-2057173135,0,-16,16,10,16,0,-16,0,0,20
85,-2057172978,0,-16,16,10,16,0,-16,0,10,0
86,-2057172869,0,-16,16,10,16,0,-16,0,10,10
87,-2057172728,0,-16,16,10,16,0,-16,0,10,20
88,-2057172619,0,-16,16,10,16,0,-16,0,20,0
89,-2057172525,0,-16,16,10,16,0,-16,0,20,10
90,-2057172447,0,-16,16,10,16,0,-16,0,20,20
91,-2057172307,0,-16,16,10,16,0,-16,10,0,0
92,-2057172244,0,-16,16,10,16,0,-16,10,0,10
93,-2057172119,0,-16,16,10,16,0,-16,10,0,20
94,-2057172010,0,-16,16,10,16,0,-16,10,10,0
95,-2057171916,0,-16,16,10,16,0,-16,10,10,10
96,-2057171791,0,-16,16,10,16,0,-16,10,10,20
97,-2057171697,0,-16,16,10,16,0,-16,10,20,0
98,-2057171588,0,-16,16,10,16,0,-16,10,20,10
99,-2057171478,0,-16,16,10,16,0,-16,10,20,20
100,-2057171385,0,-16,16,10,16,0,-16,20,0,0
101,-2057171275,0,-16,16,10,16,0,-16,20,0,10
102,-2057171181,0,-16,16,10,16,0,-16,20,0,20
103,-2057171041,0,-16,16,10,16,0,-16,20,10,0
104,-2057170931,0,-16,16,10,16,0,-16,20,10,10
105,-2057170822,0,-16,16,10,16,0,-16,20,10,20
106,-2057170728,0,-16,16,10,16,0,-16,20,20,0
107,-2057170619,0,-16,16,10,16,0,-16,20,20,10
108,-2057170478,0,-16,16,10,16,0,-16,20,20,20
109,-2057170338,0,-16,16,10,16,10,-16,0,0,0
110,-2057170213,0,-16,16,10,16,10,-16,0,0,10
111,-2057170119,0,-16,16,10,16,10,-16,0,0,20
112,-2057169916,0,-16,16,10,16,10,-16,0,10,0
113,-2057169822,0,-16,16,10,16,10,-16,0,10,10
114,-2057169635,0,-16,16,10,16,10,-16,0,10,20
115,-2057169510,0,-16,16,10,16,10,-16,0,20,0
