"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,-2057720036,0,-16,16,0,16,0,-16,0,0,0
2,-2057718676,0,-16,16,0,16,0,-16,0,0,10
3,-2057718239,0,-16,16,0,16,0,-16,0,0,20
4,-2057717707,0,-16,16,0,16,0,-16,0,10,0
5,-2057717411,0,-16,16,0,16,0,-16,0,10,10
6,-2057716942,0,-16,16,0,16,0,-16,0,10,20
7,-2057716567,0,-16,16,0,16,0,-16,0,20,0
8,-2057716254,0,-16,16,0,16,0,-16,0,20,10
9,-2057716051,0,-16,16,0,16,0,-16,0,20,20
10,-2057715864,0,-16,16,0,16,0,-16,10,0,0
11,-2057715551,0,-16,16,0,16,0,-16,10,0,10
12,-2057715207,0,-16,16,0,16,0,-16,10,0,20
13,-2057715036,0,-16,16,0,16,0,-16,10,10,0
14,-2057714879,0,-16,16,0,16,0,-16,10,10,10
15,-2057714707,0,-16,16,0,16,0,-16,10,10,20
16,-2057714457,0,-16,16,0,16,0,-16,10,20,0
17,-2057714270,0,-16,16,0,16,0,-16,10,20,10
18,-2057714129,0,-16,16,0,16,0,-16,10,20,20
19,-2057713957,0,-16,16,0,16,0,-16,20,0,0
20,-2057713770,0,-16,16,0,16,0,-16,20,0,10
21,-2057713567,0,-16,16,0,16,0,-16,20,0,20
22,-2057713270,0,-16,16,0,16,0,-16,20,10,0
23,-2057713067,0,-16,16,0,16,0,-16,20,10,10
24,-2057712911,0,-16,16,0,16,0,-16,20,10,20
25,-2057712645,0,-16,16,0,16,0,-16,20,20,0
26,-2057712457,0,-16,16,0,16,0,-16,20,20,10
27,-2057712270,0,-16,16,0,16,0,-16,20,20,20
28,-2057712020,0,-16,16,0,16,10,-16,0,0,0
29,-2057711707,0,-16,16,0,16,10,-16,0,0,10
30,-2057711411,0,-16,16,0,16,10,-16,0,0,20
31,-2057711317,0,-16,16,0,16,10,-16,0,10,0
32,-2057711114,0,-16,16,0,16,10,-16,0,10,10
33,-2057710911,0,-16,16,0,16,10,-16,0,10,20
34,-2057710801,0,-16,16,0,16,10,-16,0,20,0
35,-2057710614,0,-16,16,0,16,10,-16,0,20,10
36,-2057710489,0,-16,16,0,16,10,-16,0,20,20
37,-2057710286,0,-16,16,0,16,10,-16,10,0,0
38,-2057710145,0,-16,16,0,16,10,-16,10,0,10
39,-2057709989,0,-16,16,0,16,10,-16,10,0,20
40,-2057709817,0,-16,16,0,16,10,-16,10,10,0
41,-2057709551,0,-16,16,0,16,10,-16,10,10,10
42,-2057709411,0,-16,16,0,16,10,-16,10,10,20
43,-2057709286,0,-16,16,0,16,10,-16,10,20,0
44,-2057709098,0,-16,16,0,16,10,-16,10,20,10
45,-2057708926,0,-16,16,0,16,10,-16,10,20,20
46,-2057708832,0,-16,16,0,16,10,-16,20,0,0
47,-2057708614,0,-16,16,0,16,10,-16,20,0,10
48,-2057708442,0,-16,16,0,16,10,-16,20,0,20
49,-2057708286,0,-16,16,0,16,10,-16,20,10,0
50,-2057708161,0,-16,16,0,16,10,-16,20,10,10
51,-2057707926,0,-16,16,0,16,10,-16,20,10,20
52,-2057707723,0,-16,16,0,16,10,-16,20,20,0
53,-2057707520,0,-16,16,0,16,10,-16,20,20,10
54,-2057707379,0,-16,16,0,16,10,-16,20,20,20
55,-2057707176,0,-16,16,0,16,20,-16,0,0,0
56,-2057707020,0,-16,16,0,16,20,-16,0,0,10
57,-2057706739,0,-16,16,0,16,20,-16,0,0,20
58,-2057706520,0,-16,16,0,16,20,-16,0,10,0
59,-2057706379,0,-16,16,0,16,20,-16,0,10,10
60,-2057706207,0,-16,16,0,16,20,-16,0,10,20
61,-2057706020,0,-16,16,0,16,20,-16,0,20,0
62,-2057705895,0,-16,16,0,16,20,-16,0,20,10
63,-2057705739,0,-16,16,0,16,20,-16,0,20,20
64,-2057705598,0,-16,16,0,16,20,-16,10,0,0
65,-2057705473,0,-16,16,0,16,20,-16,10,0,10
66,-2057705270,0,-16,16,0,16,20,-16,10,0,20
67,-2057705114,0,-16,16,0,16,20,-16,10,10,0
68,-2057704989,0,-16,16,0,16,20,-16,10,10,10
69,-2057704864,0,-16,16,0,16,20,-16,10,10,20
